,date,value,period,onediffvalue
1701,Jun 04 2018,20682.04298679461,2018-06-04,1370.0559594561419
1700,Jun 03 2018,27086.275802087734,2018-06-03,6404.232815293122
1699,Jun 02 2018,26456.78183569284,2018-06-02,-629.4939663948935
1698,Jun 01 2018,20474.442890003036,2018-06-01,-5982.338945689804
1697,May 31 2018,20271.949822929873,2018-05-31,-202.49306707316282
1696,May 30 2018,20122.058571252943,2018-05-30,-149.89125167693055
1695,May 29 2018,21534.17152166703,2018-05-29,1412.1129504140881
1694,May 28 2018,35034.92506116145,2018-05-28,13500.753539494417
1693,May 27 2018,32160.040463015026,2018-05-27,-2874.884598146422
1692,May 26 2018,29784.564722101335,2018-05-26,-2375.475740913691
1691,May 25 2018,22860.34974077192,2018-05-25,-6924.214981329416
1690,May 24 2018,21490.966015453825,2018-05-24,-1369.3837253180936
1689,May 23 2018,20686.303423758083,2018-05-23,-804.6625916957419
1688,May 22 2018,20258.867287536556,2018-05-22,-427.4361362215277
1687,May 21 2018,21329.294983729884,2018-05-21,1070.4276961933283
1686,May 20 2018,27195.005648683535,2018-05-20,5865.710664953651
1685,May 19 2018,23501.36437377808,2018-05-19,-3693.6412749054543
1684,May 18 2018,19618.381835080534,2018-05-18,-3882.9825386975463
1683,May 17 2018,19575.840678275275,2018-05-17,-42.54115680525865
1682,May 16 2018,18714.707032688297,2018-05-16,-861.1336455869787
1681,May 15 2018,19210.809722339316,2018-05-15,496.1026896510193
1680,May 14 2018,19835.430256996086,2018-05-14,624.6205346567695
1679,May 13 2018,23787.095894814185,2018-05-13,3951.6656378180996
1678,May 12 2018,25196.03961507885,2018-05-12,1408.943720264666
1677,May 11 2018,19413.73372329117,2018-05-11,-5782.305891787681
1676,May 10 2018,19577.640032370506,2018-05-10,163.9063090793352
1675,May 09 2018,19579.810789000607,2018-05-09,2.1707566301010957
1674,May 08 2018,19949.754532438266,2018-05-08,369.9437434376596
1673,May 07 2018,20584.13544438568,2018-05-07,634.3809119474136
1672,May 06 2018,26976.507852365397,2018-05-06,6392.3724079797175
1671,May 05 2018,25866.54513918144,2018-05-05,-1109.9627131839588
1670,May 04 2018,19662.20368895796,2018-05-04,-6204.341450223477
1669,May 03 2018,19128.956616912517,2018-05-03,-533.2470720454439
1668,May 02 2018,18974.22178504794,2018-05-02,-154.73483186457815
1667,May 01 2018,18506.30067596416,2018-05-01,-467.921109083778
1666,Apr 30 2018,19535.523958993424,2018-04-30,1029.2232830292633
1665,Apr 29 2018,25979.405729405866,2018-04-29,6443.881770412441
1664,Apr 28 2018,24085.884078966275,2018-04-28,-1893.5216504395903
1663,Apr 27 2018,18128.27403200986,2018-04-27,-5957.610046956415
1662,Apr 26 2018,18137.698722260346,2018-04-26,9.424690250485583
1661,Apr 25 2018,19331.83909388595,2018-04-25,1194.1403716256027
1660,Apr 24 2018,18569.39329924843,2018-04-24,-762.4457946375187
1659,Apr 23 2018,19439.1521472052,2018-04-23,869.7588479567712
1658,Apr 22 2018,26621.50792057223,2018-04-22,7182.355773367028
1657,Apr 21 2018,24340.8687371965,2018-04-21,-2280.6391833757298
1656,Apr 20 2018,18249.67184853336,2018-04-20,-6091.19688866314
1655,Apr 19 2018,17311.37442073749,2018-04-19,-938.2974277958674
1654,Apr 18 2018,17272.47344296455,2018-04-18,-38.90097777294068
1653,Apr 17 2018,16867.699486680373,2018-04-17,-404.773956284178
1652,Apr 16 2018,17733.33733094159,2018-04-16,865.6378442612186
1651,Apr 15 2018,23870.51692625811,2018-04-15,6137.17959531652
1650,Apr 14 2018,24029.288265305087,2018-04-14,158.7713390469762
1649,Apr 13 2018,18340.314661953456,2018-04-13,-5688.973603351631
1648,Apr 12 2018,17676.612510232306,2018-04-12,-663.7021517211506
1647,Apr 11 2018,17379.436486270348,2018-04-11,-297.176023961958
1646,Apr 10 2018,17591.803465764555,2018-04-10,212.36697949420704
1645,Apr 09 2018,18543.59157099255,2018-04-09,951.7881052279954
1644,Apr 08 2018,23719.226810286917,2018-04-08,5175.635239294366
1643,Apr 07 2018,23578.634783598547,2018-04-07,-140.59202668836951
1642,Apr 06 2018,18551.16109503264,2018-04-06,-5027.473688565908
1641,Apr 05 2018,18432.589145958646,2018-04-05,-118.57194907399389
1640,Apr 04 2018,17343.437783827892,2018-04-04,-1089.1513621307531
1639,Apr 03 2018,16813.571127320545,2018-04-03,-529.8666565073472
1638,Apr 02 2018,18328.03900606283,2018-04-02,1514.4678787422854
1637,Apr 01 2018,24961.27486852672,2018-04-01,6633.235862463891
1636,Mar 31 2018,21796.8303238732,2018-03-31,-3164.444544653521
1635,Mar 30 2018,18246.202615284015,2018-03-30,-3550.627708589185
1634,Mar 29 2018,16822.57376700641,2018-03-29,-1423.6288482776035
1633,Mar 28 2018,15793.80968129148,2018-03-28,-1028.7640857149327
1632,Mar 27 2018,16250.025690077735,2018-03-27,456.21600878625577
1631,Mar 26 2018,17555.46102746744,2018-03-26,1305.4353373897065
1630,Mar 25 2018,21858.43375803427,2018-03-25,4302.9727305668275
1629,Mar 24 2018,20775.336431336942,2018-03-24,-1083.097326697327
1628,Mar 23 2018,15886.111525763024,2018-03-23,-4889.224905573918
1627,Mar 22 2018,15324.348341474544,2018-03-22,-561.7631842884803
1626,Mar 21 2018,15545.805398927487,2018-03-21,221.45705745294254
1625,Mar 20 2018,15514.624164214438,2018-03-20,-31.18123471304898
1624,Mar 19 2018,16514.760686377835,2018-03-19,1000.1365221633969
1623,Mar 18 2018,20862.349756724423,2018-03-18,4347.589070346588
1622,Mar 17 2018,19690.15257527368,2018-03-17,-1172.1971814507415
1621,Mar 16 2018,15301.370959464337,2018-03-16,-4388.781615809345
1620,Mar 15 2018,15203.631858054256,2018-03-15,-97.73910141008128
1619,Mar 14 2018,15014.42822869756,2018-03-14,-189.20362935669618
1618,Mar 13 2018,15879.93934466601,2018-03-13,865.5111159684511
1617,Mar 12 2018,16799.5777218583,2018-03-12,919.6383771922883
1616,Mar 11 2018,20834.699201662108,2018-03-11,4035.121479803809
1615,Mar 10 2018,20444.14634794206,2018-03-10,-390.552853720048
1614,Mar 09 2018,16021.335696239847,2018-03-09,-4422.810651702213
1613,Mar 08 2018,15710.930142591717,2018-03-08,-310.4055536481301
1612,Mar 07 2018,15264.220585651485,2018-03-07,-446.7095569402318
1611,Mar 06 2018,16130.391026630568,2018-03-06,866.1704409790837
1610,Mar 05 2018,16649.79173271259,2018-03-05,519.4007060820222
1609,Mar 04 2018,22039.567859082843,2018-03-04,5389.776126370252
1608,Mar 03 2018,22204.271997912998,2018-03-03,164.704138830155
1607,Mar 02 2018,15603.056013592917,2018-03-02,-6601.215984320081
1606,Mar 01 2018,14748.19246914795,2018-03-01,-854.8635444449665
1605,Feb 28 2018,15090.216482392303,2018-02-28,342.0240132443523
1604,Feb 27 2018,15238.931951521674,2018-02-27,148.71546912937083
1603,Feb 26 2018,16276.137429421276,2018-02-26,1037.2054778996026
1602,Feb 25 2018,20449.54180126269,2018-02-25,4173.404371841414
1601,Feb 24 2018,19523.584763622723,2018-02-24,-925.9570376399679
1600,Feb 23 2018,15106.396090101725,2018-02-23,-4417.188673520997
1599,Feb 22 2018,14603.584005766434,2018-02-22,-502.81208433529173
1598,Feb 21 2018,14401.843786322754,2018-02-21,-201.74021944367996
1597,Feb 20 2018,14986.64178144243,2018-02-20,584.7979951196758
1596,Feb 19 2018,17485.230332716077,2018-02-19,2498.5885512736477
1595,Feb 18 2018,19127.64870181904,2018-02-18,1642.4183691029612
1594,Feb 17 2018,17657.96033921906,2018-02-17,-1469.6883625999799
1593,Feb 16 2018,14247.12667451153,2018-02-16,-3410.8336647075284
1592,Feb 15 2018,13526.501416567744,2018-02-15,-720.625257943786
1591,Feb 14 2018,12673.636407808055,2018-02-14,-852.8650087596889
1590,Feb 13 2018,13553.319527522523,2018-02-13,879.6831197144675
