TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF SEP 29, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,16.1,0,0,0,16.1,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,8859.2,3312.5,2935,91.2,19.6,1552.4,0,0,902.8,43.3,2.4
"WEEK OF SEP 29, 2014 (B)",Home Depot Home Center : Vignette,25.3,0,25.3,0,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,4.9,0,0,0,4.9,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,4631.3,1749.3,1628.1,39.6,24.2,0,7.2,259.7,881.5,41.7,0
"WEEK OF OCT 06, 2014 (B)",Home Depot Home Center : Vignette,12.2,0,12.2,0,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.8,0,0,0,0.8,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,4017.1,1848.5,1175.2,45.2,25,0,0,0,881.5,41.7,0
"WEEK OF OCT 13, 2014 (B)",Home Depot Home Center : Vignette,14,0,14,0,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",Home Depot Inc : Recruitment,4.6,0,0,0,0,0,0,4.6,0,0,0
"WEEK OF OCT 20, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.4,0,0,0,1.4,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3851.6,1244.6,1632.3,26.2,25.2,0,0,0.2,881.5,41.7,0
"WEEK OF OCT 20, 2014 (B)",Home Depot Home Center : Vignette,13.9,0,13.9,0,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",Home Depot Do-It Herself : Workshop,65,0,0,0,0,65,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.3,0,0,0,0.3,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,6659.8,2028.6,1290.7,25.1,25,2120.5,0,8.8,1095.8,61.8,3.5
"WEEK OF OCT 27, 2014 (B)",Home Depot Home Center : Vignette,14,0,14,0,0,0,0,0,0,0,0
"WEEK OF NOV 03, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.6,0,0,0,1.6,0,0,0,0,0,0
"WEEK OF NOV 03, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,8083.3,3626.6,2365.1,58.6,18.2,0,0,271.2,1631.5,112,0
"WEEK OF NOV 03, 2014 (B)",Home Depot Home Center : Vignette,20.8,0,20.8,0,0,0,0,0,0,0,0
"WEEK OF NOV 10, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.3,0,0,0,3.3,0,0,0,0,0,0
"WEEK OF NOV 10, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,9061.1,3183.3,3616.6,9.6,263.2,0,0,244.8,1631.5,112,0
"WEEK OF NOV 10, 2014 (B)",Home Depot Home Center : Vignette,40.3,0,40.3,0,0,0,0,0,0,0,0
"WEEK OF NOV 17, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.4,0,0,0,2.4,0,0,0,0,0,0
"WEEK OF NOV 17, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,6944.1,2294.4,2365.9,11.2,274.3,0,0,254.9,1631.5,112,0
"WEEK OF NOV 17, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,7,0,0,0,0,0,0,7,0,0,0
"WEEK OF NOV 17, 2014 (B)",Home Depot Home Center : Vignette,19.1,0,19.1,0,0,0,0,0,0,0,0
"WEEK OF NOV 24, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.4,0,0,0,3.4,0,0,0,0,0,0
"WEEK OF NOV 24, 2014 (B)",Home Depot Home Center : Home & Building Products DR,0.8,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF NOV 24, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,10779.7,6558,1776.5,11.2,74.1,0,0,616.4,1631.5,112,0
"WEEK OF NOV 24, 2014 (B)",Home Depot Home Center : Vignette,17.2,0,17.2,0,0,0,0,0,0,0,0
"WEEK OF DEC 01, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,12,0,0,0,12,0,0,0,0,0,0
"WEEK OF DEC 01, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,6342.1,2088.6,1281.6,14,43.8,1948.5,0,0,957.8,4.3,3.5
"WEEK OF DEC 01, 2014 (B)",Home Depot Home Center : Online,113.7,78.4,35.3,0,0,0,0,0,0,0,0
"WEEK OF DEC 01, 2014 (B)",Home Depot Home Center : Vignette,14.8,0,14.8,0,0,0,0,0,0,0,0
"WEEK OF DEC 08, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.4,0,0,0,0.4,0,0,0,0,0,0
"WEEK OF DEC 08, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,2760.3,794.2,939.3,16,48.8,0,0,0,957.8,4.3,0
"WEEK OF DEC 08, 2014 (B)",Home Depot Home Center : Vignette,12.7,0,12.7,0,0,0,0,0,0,0,0
"WEEK OF DEC 15, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3349.8,1230.7,1104.7,14,38.5,0,0,0,957.8,4.3,0
"WEEK OF DEC 15, 2014 (B)",Home Depot Home Center : Vignette,14.4,0,14.4,0,0,0,0,0,0,0,0
"WEEK OF DEC 22, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,2659.2,460.2,971.7,14,2.9,0,0,248.4,957.8,4.3,0
"WEEK OF DEC 22, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,7,0,0,0,0,0,0,7,0,0,0
"WEEK OF DEC 22, 2014 (B)",Home Depot Home Center : Vignette,11.5,0,11.5,0,0,0,0,0,0,0,0
"WEEK OF DEC 29, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,4593.5,1280.2,1943.4,11.7,0.8,444.6,0,0,871.1,41.6,0
"WEEK OF DEC 29, 2014 (B)",Home Depot Home Center : Vignette,20.9,0,20.9,0,0,0,0,0,0,0,0
"WEEK OF JAN 05, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.5,0,0,0,0.5,0,0,0,0,0,0
"WEEK OF JAN 05, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2264.5,27.4,1349.5,11.7,0.1,0,0,0,806.2,69.5,0
"WEEK OF JAN 05, 2015 (B)",Home Depot Home Center : Vignette,17.8,0,17.8,0,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.4,0,0,0,0.4,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,5015.8,261.7,3621.6,11.7,6.8,0,0,238.3,806.2,69.5,0
"WEEK OF JAN 12, 2015 (B)",Home Depot Home Center : Vignette,15.3,0,15.3,0,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,1632.7,0,720,11.7,25.3,0,0,0,806.2,69.5,0
"WEEK OF JAN 19, 2015 (B)",Home Depot Home Center : Vignette,10.5,0,10.5,0,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Home Depot Inc : Recruitment,0.8,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF JAN 26, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2508.2,0,860,123,0.3,643.6,0,0,803.7,59.7,17.8
"WEEK OF JAN 26, 2015 (B)",Home Depot Home Center : Vignette,14.8,0,14.8,0,0,0,0,0,0,0,0
"WEEK OF JAN 26, 2015 (B)",Home Depot Inc : Recruitment,0.8,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF FEB 02, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.5,0,0,0,0.5,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,1642.7,0,804.4,36.1,12.3,0,0,0,788.9,0.9,0
"WEEK OF FEB 02, 2015 (B)",Home Depot Home Center : Vignette,8.9,0,8.9,0,0,0,0,0,0,0,0
"WEEK OF FEB 09, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.4,0,0,0,0.4,0,0,0,0,0,0
"WEEK OF FEB 09, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2251.7,0,1181.5,9.5,26.2,0,0,244.6,788.9,0.9,0
"WEEK OF FEB 09, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,7,0,0,0,0,0,0,7,0,0,0
"WEEK OF FEB 09, 2015 (B)",Home Depot Home Center : Vignette,10.2,0,10.2,0,0,0,0,0,0,0,0
"WEEK OF FEB 16, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,1857.3,0,1020.7,11.4,27.4,0,0,7.9,788.9,0.9,0
"WEEK OF FEB 16, 2015 (B)",Home Depot Home Center : Vignette,7.6,0,7.6,0,0,0,0,0,0,0,0
"WEEK OF FEB 23, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,1323.7,0,0.5,15.2,0.5,499,0,0,752.7,55.1,0.7
"WEEK OF MAR 02, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2358,0,1395.7,13.3,26.9,0,0,6.7,535.2,380.2,0
"WEEK OF MAR 02, 2015 (B)",Home Depot Home Center : Vignette,10.5,0,10.5,0,0,0,0,0,0,0,0
"WEEK OF MAR 09, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2940.4,0,1924.6,11.4,28.1,0,0,60.9,535.2,380.2,0
"WEEK OF MAR 09, 2015 (B)",Home Depot Home Center : Vignette,10.3,0,10.3,0,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2679.6,0,1730.4,11.4,22.4,0,0,0,535.2,380.2,0
"WEEK OF MAR 16, 2015 (B)",Home Depot Home Center : Vignette,12.1,0,12.1,0,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Home Depot Inc : Recruitment,0.9,0,0,0,0,0,0,0.9,0,0,0
"WEEK OF MAR 23, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,3158.5,0,2213.6,11.4,18.1,0,0,0,535.2,380.2,0
"WEEK OF MAR 23, 2015 (B)",Home Depot Home Center : Vignette,20.6,0,20.6,0,0,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Home Depot Inc : Recruitment,0.9,0,0,0,0,0,0,0.9,0,0,0
"WEEK OF MAR 30, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,6232.6,1372.7,1220.9,11.4,53.6,1927.8,0,0,1012.3,614.6,19.4
"WEEK OF MAR 30, 2015 (B)",Home Depot Home Center : Vignette,12.9,0,12.9,0,0,0,0,0,0,0,0
"WEEK OF APR 06, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,5354,1745.8,1360,15.2,38.2,0,0,283.4,1203.1,708.4,0
"WEEK OF APR 06, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,8,0,0,0,0,0,0,8,0,0,0
"WEEK OF APR 06, 2015 (B)",Home Depot Home Center : Vignette,82.5,0,82.5,0,0,0,0,0,0,0,0
"WEEK OF APR 13, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,5906.3,1787.6,2150,17.1,40.1,0,0,0,1203.1,708.4,0
"WEEK OF APR 13, 2015 (B)",Home Depot Home Center : Vignette,10.7,0,10.7,0,0,0,0,0,0,0,0
"WEEK OF APR 20, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,4919.6,0,2365.4,17.1,31,0,0,594.7,1203.1,708.4,0
"WEEK OF APR 20, 2015 (B)",Home Depot Home Center : Vignette,5.6,0,5.6,0,0,0,0,0,0,0,0
"WEEK OF APR 27, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,8724.8,904.7,3451.9,16.7,66.9,2200.6,0,96.8,1437.4,541.5,8.2
"WEEK OF APR 27, 2015 (B)",Home Depot Home Center : Recruitment,10.6,0,0,0,0,0,0,10.6,0,0,0
"WEEK OF APR 27, 2015 (B)",Home Depot Home Center : Vignette,15.5,0,15.5,0,0,0,0,0,0,0,0
"WEEK OF MAY 04, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,4217.1,0,1692.9,16.7,27.9,0,0,410.8,1749.8,319,0
"WEEK OF MAY 04, 2015 (B)",Home Depot Home Center : Vignette,5.2,0,5.2,0,0,0,0,0,0,0,0
"WEEK OF MAY 11, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,4323.2,0,1713.5,13,220.7,0,0,307.2,1749.8,319,0
"WEEK OF MAY 11, 2015 (B)",Home Depot Home Center : Vignette,10.2,0,10.2,0,0,0,0,0,0,0,0
"WEEK OF MAY 18, 2015 (B)",Home & Family Show/Home Depot : Sponsored Event,4.3,0,0,0,0,0,0,4.3,0,0,0
"WEEK OF MAY 18, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,8434,1859.5,3745.1,11.1,40.7,0,0,708.8,1749.8,319,0
"WEEK OF MAY 18, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,8.2,0,0,0,0,0,0,8.2,0,0,0
"WEEK OF MAY 18, 2015 (B)",Home Depot Home Center : Vignette,22.2,0,22.2,0,0,0,0,0,0,0,0
"WEEK OF MAY 25, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,7132.2,1546.3,3455.4,11.1,50.7,0,0,0,1749.8,319,0
"WEEK OF MAY 25, 2015 (B)",Home Depot Home Center : Vignette,34,0,34,0,0,0,0,0,0,0,0
"WEEK OF JUN 01, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,5850.3,0,2467.4,11.1,40,1835.2,0,0,1485.9,4.9,5.9
"WEEK OF JUN 01, 2015 (B)",Home Depot Home Center : Vignette,16,0,16,0,0,0,0,0,0,0,0
"WEEK OF JUN 08, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,4210.6,899.4,1766.2,9.3,44.3,0,0,0.6,1485.9,4.9,0
"WEEK OF JUN 08, 2015 (B)",Home Depot Home Center : Recruitment,0.9,0,0,0,0,0,0,0.9,0,0,0
"WEEK OF JUN 08, 2015 (B)",Home Depot Home Center : Vignette,11.6,0,11.6,0,0,0,0,0,0,0,0
"WEEK OF JUN 15, 2015 (B)",Home Depot & Sacramento Municipal Utility District : Combo,24.5,0,0,0,0,0,0,24.5,0,0,0
"WEEK OF JUN 15, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,4899.2,916.7,1952.6,14.8,55.6,0,0,468.7,1485.9,4.9,0
"WEEK OF JUN 15, 2015 (B)",Home Depot Home Center : Vignette,12.8,0,12.8,0,0,0,0,0,0,0,0
"WEEK OF JUN 15, 2015 (B)",Home Depot Inc : Corporate Promotion,162.2,0,0,0,0,162.2,0,0,0,0,0
"WEEK OF JUN 15, 2015 (B)",Home Depot Inc : Recruitment,0.8,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF JUN 22, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,6031.7,1662.4,2636.1,14.8,55.9,0,0,171.7,1485.9,4.9,0
"WEEK OF JUN 22, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.1,0,0,0,0,0,0,4.1,0,0,0
"WEEK OF JUN 22, 2015 (B)",Home Depot Home Center : Vignette,11,0,10.9,0,0,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,7293.2,1578.3,2229.6,14.4,68.5,1661.5,0,518.5,1197.3,9.5,15.6
"WEEK OF JUN 29, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.1,0,0,0,0,0,0,4.1,0,0,0
"WEEK OF JUN 29, 2015 (B)",Home Depot Home Center : Vignette,15.2,0,15.2,0,0,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Home Depot Project Color : Mobile App,295.8,0,0,0,0,295.8,0,0,0,0,0
"WEEK OF JUL 06, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2896,45,1491.7,10.8,33.5,0,16,206,1081.8,11.3,0
"WEEK OF JUL 06, 2015 (B)",Home Depot Home Center : Vignette,6.6,0,6.6,0,0,0,0,0,0,0,0
"WEEK OF JUL 13, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2990.7,0,1814.2,14.4,67.4,0,0,1.6,1081.8,11.3,0
"WEEK OF JUL 13, 2015 (B)",Home Depot Home Center : Vignette,0.5,0,0.5,0,0,0,0,0,0,0,0
"WEEK OF JUL 20, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2728.3,0,1571.4,14.4,39.2,0,0,10.1,1081.8,11.3,0
"WEEK OF JUL 20, 2015 (B)",Home Depot Home Center : Vignette,6.7,0,6.7,0,0,0,0,0,0,0,0
"WEEK OF JUL 20, 2015 (B)",Home Depot Inc : Recruitment,0.8,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF JUL 27, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,4771.5,218.2,2280.3,10.8,65.1,1159.2,0,0.6,993,17.9,26.4
"WEEK OF JUL 27, 2015 (B)",Home Depot Home Center : Vignette,0.9,0,0.9,0,0,0,0,0,0,0,0
"WEEK OF JUL 27, 2015 (B)",Home Depot Inc : Recruitment,0.8,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF JUL 27, 2015 (B)",Home Depot Project Color : Mobile App,923.4,0,0,0,0,923.4,0,0,0,0,0
"WEEK OF AUG 03, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2787.5,36.1,1917.1,10.8,8.9,0,0,9.1,771.1,34.4,0
"WEEK OF AUG 03, 2015 (B)",Home Depot Home Center : Vignette,7,0,7,0,0,0,0,0,0,0,0
"WEEK OF AUG 10, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,1871.4,144.3,883.2,14.4,23.3,0,0,0.6,771.1,34.4,0
"WEEK OF AUG 10, 2015 (B)",Stephen Siller Tunnel To Towers 5k Run & Walk/Home Depot : Sponsored Event,2,0,0,0,2,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,1035.2,0,161.8,14.4,34,0,0,19.4,771.1,34.4,0
"WEEK OF AUG 17, 2015 (B)",Stephen Siller Tunnel To Towers 5k Run & Walk/Home Depot : Sponsored Event,2.1,0,0,0,2.1,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,3274,103.4,2271.7,10.8,63.1,0,0,19.4,771.1,34.4,0
"WEEK OF AUG 24, 2015 (B)",Home Depot Home Center : Vignette,8.2,0,8.2,0,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Stephen Siller Tunnel To Towers 5k Run & Walk/Home Depot : Sponsored Event,1.9,0,0,0,1.9,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Fiestas Patrias/Home Depot : Sponsored Event,4.5,0,0,0,4.5,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Home Depot : Mobile App,8.9,0,8.7,0,0.2,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Home Depot Color Center : Mobile App,286.5,0,0,0,0,286.5,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,8229.7,515,4208.1,7.2,71,1880.8,31.9,754.2,716.4,17.8,27.3
"WEEK OF AUG 31, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,8.2,0,0,0,0,0,0,8.2,0,0,0
"WEEK OF AUG 31, 2015 (B)",Home Depot Home Center : Vignette,9.8,0,9.8,0,0,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Home Depot Project Color : Mobile App,1236.5,0,0,0,0,1236.5,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Stephen Siller Tunnel To Towers 5k Run & Walk/Home Depot : Sponsored Event,2.5,0,0,0,2.5,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Fiestas Patrias/Home Depot : Sponsored Event,4.9,0,0,0,4.9,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Home Depot : Mobile App,18.4,0,18.4,0,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,3806.6,1786.9,1256.8,10.8,29.9,0,0,0,707.3,15,0
"WEEK OF SEP 07, 2015 (B)",Home Depot Home Center : Vignette,4.5,0,4.5,0,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Stephen Siller Tunnel To Towers 5k Run & Walk/Home Depot : Sponsored Event,1.1,0,0,0,1.1,0,0,0,0,0,0
"WEEK OF SEP 14, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2573.7,1316.2,496.3,10.8,28.1,0,0,0,707.3,15,0
"WEEK OF SEP 14, 2015 (B)",Home Depot Home Center : Vignette,1.6,0,1.6,0,0,0,0,0,0,0,0
"WEEK OF SEP 21, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.4,0,0,0,0.4,0,0,0,0,0,0
"WEEK OF SEP 21, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,4015.2,1836,1425.3,10.8,20.9,0,0,0,707.3,15,0
"WEEK OF SEP 21, 2015 (B)",Home Depot Home Center : Vignette,9.9,0,9.9,0,0,0,0,0,0,0,0
"WEEK OF SEP 28, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,10.1,0,0,0,10.1,0,0,0,0,0,0
"WEEK OF SEP 28, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,6551,1815.9,2595,10.8,43.6,1132.4,0,0,818.2,35.7,99.4
"WEEK OF SEP 28, 2015 (B)",Home Depot Home Center : Vignette,13.3,0,13.3,0,0,0,0,0,0,0,0
"WEEK OF SEP 28, 2015 (B)",Home Depot Project Color : Mobile App,1055.9,0,0,0,0,1055.9,0,0,0,0,0
"WEEK OF OCT 05, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,4,0,0,0,4,0,0,0,0,0,0
"WEEK OF OCT 05, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,5161,2266.5,1598.3,10.8,101.5,0,0,231.2,901.5,51.2,0
"WEEK OF OCT 05, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,6.1,0,0,0,0,0,0,6.1,0,0,0
"WEEK OF OCT 05, 2015 (B)",Home Depot Home Center : Vignette,7.6,0,7.6,0,0,0,0,0,0,0,0
"WEEK OF OCT 12, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.3,0,0,0,3.3,0,0,0,0,0,0
"WEEK OF OCT 12, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,2777.7,858.7,892,10.8,63.3,0,0,0.3,901.5,51.2,0
"WEEK OF OCT 12, 2015 (B)",Home Depot Home Center : Vignette,3.1,0,3.1,0,0,0,0,0,0,0,0
"WEEK OF OCT 19, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.5,0,0,0,2.5,0,0,0,0,0,0
"WEEK OF OCT 19, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,4015.9,1290.7,1746.1,14.4,8.9,0,0,3.3,901.5,51.2,0
"WEEK OF OCT 19, 2015 (B)",Home Depot Home Center : Vignette,3.6,0,3.6,0,0,0,0,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,6264.1,1604.6,1805.6,10.8,13.6,1728.9,0,0,973.3,59.7,67.6
"WEEK OF OCT 26, 2015 (B)",Home Depot Home Center : Online,78,0,0,0,0,78,0,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Home Depot Home Center : Vignette,4.6,0,4.6,0,0,0,0,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Home Depot Project Color : Mobile App,315.3,0,0,0,0,315.3,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,4.1,0,0,0,4.1,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,7257.6,2722.3,2783.5,22.2,25.4,0,0,189.1,1404.2,110.8,0
"WEEK OF NOV 02, 2015 (B)",Home Depot Home Center : Vignette,22,0,22,0,0,0,0,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.6,0,0,0,3.6,0,0,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,8049.8,2917,3290.5,14.4,101.5,0,0,211.4,1404.2,110.8,0
"WEEK OF NOV 09, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.1,0,0,0,0,0,0,4.1,0,0,0
"WEEK OF NOV 09, 2015 (B)",Home Depot Home Center : Vignette,11.5,0,11.5,0,0,0,0,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.5,0,0,0,3.5,0,0,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,6134.3,2301.9,2053.2,10.8,73.3,0,16,164.2,1404.2,110.8,0
"WEEK OF NOV 16, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.1,0,0,0,0,0,0,4.1,0,0,0
"WEEK OF NOV 16, 2015 (B)",Home Depot Home Center : Vignette,8.3,0,8.3,0,0,0,0,0,0,0,0
"WEEK OF NOV 23, 2015 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.2,0,0,0,3.2,0,0,0,0,0,0
"WEEK OF NOV 23, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,8071.6,3937.2,1840.7,10.8,83.8,0,16,668.1,1404.2,110.8,0
"WEEK OF NOV 23, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.1,0,0,0,0,0,0,4.1,0,0,0
"WEEK OF NOV 23, 2015 (B)",Home Depot Home Center : Vignette,10.9,0,10.9,0,0,0,0,0,0,0,0
"WEEK OF NOV 23, 2015 (B)",South Hollands Winter Wonderland/Home Depot : Sponsored Event,0.2,0,0,0,0,0,0,0.2,0,0,0
"WEEK OF NOV 30, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,7331.9,3426.6,1721.9,10.5,78.1,1201.3,0,0,864.5,16.6,12.4
"WEEK OF NOV 30, 2015 (B)",Home Depot Home Center : Online,54.6,0,0,0,0,54.6,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Home Depot Home Center : Vignette,19.4,0,16.4,0,3,0,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Home Depot Inc : Corporate Promotion,114.3,0,0,0,0,114.3,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Home Depot Project Color : Mobile App,121.2,0,0,0,0,121.2,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",South Hollands Winter Wonderland/Home Depot : Sponsored Event,0.2,0,0,0,0,0,0,0.2,0,0,0
"WEEK OF DEC 07, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,3293.5,1383.8,1050.9,10.5,72.8,0,0,0,774.5,0.9,0
